task_id	name	status	priority	issue_type	app_section	owner	parent	notes	created_at	completed_at
1213103523813983	change the way groups work. I don't need to select to layers to group	Completed	High		Timeline	Unassigned		Instead of selecting two layers and grouping with an icon for grouping selected layers\n\nIt should work like this\nand icon in the header of layer names should be a create folder icon\nClicking on it create a folder at the top of the stack\nI will then be able to drag layers in and out of that folder\n\nI won't need the ungroup selected layers icon; I can simply drag them out	2026-02-03 20:33:08	2026-02-23 19:29:38
1213783121489114	extract aminos and horoscope from player code ---->	Completed	High			Gustavo & Team			2026-03-24 22:27:22	2026-04-22 18:41:30
1213142145201267	HEX make color pick default to a hex value -->	Completed	High	UX/UI	Animation Variables	Unassigned		Currently I can select between RGB HSL and HEX in a pulldown\nthe pulldown should default to hex instead of RGB	2026-02-05 17:14:10	2026-02-23 19:29:30
1213070081766422	Login authentication fails on mobile app	Completed	High	Bug	Timeline	Unassigned		Users report unable to log in using mobile app on iOS devices. Error message appears after entering credentials.	2026-02-01 15:37:08	2026-02-01 15:49:00
1213387118254124	Set Default Colors  and lines for new layers in Project Settings	Completed	High		Animation Variables	Unassigned			2026-02-22 19:08:24	2026-02-23 17:52:03
1213070081766426	Update deprecated API endpoints	Completed	High	Technical Debt		Unassigned		Replace legacy API calls with current version endpoints to maintain compatibility.	2026-02-01 15:37:09	2026-02-01 16:23:35
1213409303569203	allow keyframes to be resorted in timeline	Completed	Medium	UX/UI		Unassigned			2026-02-23 17:45:15	2026-02-23 19:31:16
1213070081766423	Implement dark mode toggle	Completed	Medium	Feature Request		Unassigned		Add user preference setting for dark/light mode theme switching in application settings.	2026-02-01 15:37:09	2026-02-05 22:26:20
1213103502476659	instances - Add rotating difference from one instance to the next	Completed	Medium	Enhancement	Animation Variables	Unassigned			2026-02-03 18:30:49	2026-02-23 16:45:55
1213142138288927	instances - progresion -->	Completed	Medium	Bug	Animation Variables	Unassigned		isn't working in OFFSET mode\nit works for radial \n\n \n\n\nwhen offsetting it's already add x size\nprogression does the same, adding x, it's not adding as a progressive multiplier, just a normal multiplier	2026-02-05 17:00:41	2026-02-23 16:46:13
1213070081766425	Optimize search algorithm performance	Completed	Medium	Enhancement		Unassigned		Improve search functionality response time by implementing better indexing and caching strategies.	2026-02-01 15:37:09	2026-02-05 22:26:24
1213152751327497	Add Export button to editor	Completed	Low	UX/UI	Canvas	Unassigned			2026-02-06 15:15:36	2026-02-23 18:13:28
1213387118254111	Export should be avaiable within Editor	Completed	Low	UX/UI	Timeline	Unassigned			2026-02-22 17:34:26	2026-02-23 18:13:35
1213070073876329	Fix project duplication placement	Completed	Low			Unassigned		Issue: When duplicating a project it should go right below the original if it's in a folder then in the same folder.\n\nCurrent Behavior: Duplicated projects may not appear in the expected location relative to the original.\n\nExpected Behavior: \n\n    Duplicated project should appear immediately below the original project\n    If original is in a folder, duplicate should be placed in the same folder\n    Maintain hierarchical organization during duplication	2026-02-01 15:49:03	2026-02-23 19:32:07
1213409303569215	fix undo so it doesnt' go through micor values	Completed	Low	UX/UI		Unassigned			2026-02-23 18:36:40	2026-02-23 19:31:06
1213387118254136	I need a library of "layer" animation I can copy over into current animation	Completed	Low		General	Unassigned			2026-02-22 19:51:10	2026-04-22 18:42:39
1213409298716092	i was just able to delete folders a second ago, and I did, but now the option is gone, even when i refresh	Completed	Low	Bug		Unassigned			2026-02-23 15:09:41	2026-02-23 19:31:02
1213103502476652	if I move first keyframe without having and second keyframe shape disappears	Completed	Low	Bug	Timeline	Unassigned			2026-02-03 18:07:10	2026-02-22 15:42:03
1213589928739629	3D Aminos dont' fill in color	Completed				Alexa			2026-03-10 10:27:05	2026-03-24 22:29:59
1213070073876348	Add icosahedron shape support	Completed				Unassigned		Enhancement: Add ability to add icosahedrons.\n\nExpected Behavior: Users should be able to create icosahedron shapes as part of the available geometry options in the editor.	2026-02-01 15:50:21	2026-02-05 22:26:09
1213070073876352	Add layer grouping with animation support	Completed				Unassigned		Enhancement: Ability to group layers of shapes and apply animation and keyframes, groups should be collapsible in the layer/timeline panel.\n\nExpected Behavior: \n\n    Users can select multiple layers and group them\n    Groups can have their own animations and keyframes applied\n    Groups appear as collapsible items in the layer/timeline panel\n    Nested animation hierarchy support	2026-02-01 15:50:22	2026-02-05 22:25:52
1213070073876315	Add properties to groups	Completed				Unassigned		Task: Add properties to groups.\n\nStatus: Completed (crossed out in original list)\n\nExpected Behavior: Group objects should have their own property panels and settings, similar to individual layers.	2026-02-01 15:47:05	2026-02-01 15:47:37
1213409298716108	add tooltips to keyframes	Completed				Unassigned			2026-02-23 17:45:02	2026-02-23 19:29:33
1213070073876284	Allow first keyframe repositioning	Completed			Timeline	Unassigned		Issue: I should be able to move the first keyframe before it is the first keyframe of a layer timeline bar.\n\nExpected Behavior: First keyframe should be moveable to any position on the timeline, allowing for flexible timeline arrangement.	2026-02-01 15:46:20	2026-02-05 16:29:29
1213103523813977	Allow Style settings in group to over ride or change  settings for all contained layers	Completed			Timeline	Unassigned			2026-02-03 18:32:29	2026-02-05 16:29:25
1213783121489120	Call shapes used as part of Jason file	Completed				Unassigned	extract aminos and horoscope from player code ---->		2026-03-24 22:28:23	2026-04-22 18:47:50
1213422326879711	Copy pasting between tabs is not working precisely (fix)	Completed				Unassigned			2026-02-24 12:55:11	2026-04-22 18:48:36
1213589928739641	Create a circle of astrological signs	Completed				Alexa			2026-03-10 10:41:39	2026-03-17 09:23:59
1213589928739635	Create a circle of iching	Completed				Alexa			2026-03-10 10:41:22	2026-03-17 09:23:56
1213949550375702	create an option for inporting a folder of SVGS into a circle as instances (for other symbols in circl)	Completed				Alexa			2026-04-07 10:03:48	2026-04-22 13:27:00
1214168752190343	create an option for uploading a PNG as individual or group	Completed				Alexa			2026-04-21 11:24:16	2026-04-22 13:26:59
1213142138288912	create New folders should appear on top of the stack	Completed			File System	Unassigned			2026-02-05 16:15:00	2026-02-06 18:14:18
1213589928739638	Create of aminoacids from SVGS	Completed				Alexa			2026-03-10 10:41:31	2026-03-17 09:23:58
1213070073876288	Cross-project layer copy/paste	Completed			Timeline	Unassigned		Feature Request: Allow for copy pasting of layers and groups across projects.\n\nContext: Basic copy/paste functionality for layers and groups within projects is already implemented. Need to extend this capability to work between different projects.\n\nExpected Behavior: Users should be able to copy layers/groups from one project and paste them into another project.	2026-02-01 15:46:21	2026-02-05 16:29:31
